title,spoken_languages,production_companies,production_countries,genres,keywords,original_language,popularity
G-Force,English,Walt Disney Pictures,United States of America,Comedy,duringcreditsstinger,en,26.710397999999998
Wrath of the Titans,English,Warner Bros.,United States of America,Adventure,3d,en,44.927634999999995
Dark Shadows,English,Warner Bros.,United States of America,Comedy,witch,en,50.306728
Mission: Impossible - Rogue Nation,English,Paramount Pictures,United States of America,Thriller,sequel,en,114.52223700000002
The Wolfman,English,Universal Pictures,United States of America,Drama,father son relationship,en,21.214571
Bee Movie,English,DreamWorks Animation,United States of America,Comedy,aftercreditsstinger,en,29.332905
Kung Fu Panda 2,English,DreamWorks Animation,United States of America,Family,woman director,en,51.247321
The Last Airbender,English,Paramount Pictures,United States of America,Action,remake,en,33.769335999999996
Mission: Impossible III,English,Paramount Pictures,United States of America,Thriller,murder,en,63.079003
White House Down,English,Columbia Pictures,United States of America,Drama,conspiracy,en,39.004588
Mars Needs Moms,English,Walt Disney Animation Studios,United States of America,Adventure,duringcreditsstinger,en,12.362599000000001
Flushed Away,English,DreamWorks Animation,United States of America,Comedy,london england,en,22.550135
Pan,English,Warner Bros.,United States of America,Adventure,magic,en,48.03528
Mr. Peabody & Sherman,English,DreamWorks Animation,United States of America,Adventure,duringcreditsstinger,en,38.73494
Troy,English,Warner Bros.,United States of America,Drama,brother brother relationship,en,66.803149
Madagascar 3: Europe's Most Wanted,English,DreamWorks Animation,United States of America,Family,3d,en,44.989191999999996
Die Another Day,English,Eon Productions,United States of America,Thriller,british secret service,en,54.159392000000004
Ghostbusters,English,Columbia Pictures,United States of America,Comedy,ghost,en,66.21806
Armageddon,English,Touchstone Pictures,United States of America,Thriller,duringcreditsstinger,en,58.485967
Men in Black II,English,Columbia Pictures,United States of America,Comedy,alien,en,91.332849
Beowulf,English,Paramount Pictures,United States of America,Action,battle,en,35.601665000000004
Kung Fu Panda 3,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,woman director,en,56.747978
Mission: Impossible - Ghost Protocol,English,Paramount Pictures,United States of America,Thriller,sequel,en,77.77476999999999
Rise of the Guardians,English,DreamWorks Animation,United States of America,Family,duringcreditsstinger,en,61.788035
Fun with Dick and Jane,English,Columbia Pictures Corporation,United States of America,Comedy,based on novel,en,25.159167999999998
The Last Samurai,English,Warner Bros.,United States of America,Drama,soldier,en,52.341226
Exodus: Gods and Kings,English,Scott Free Productions,United States of America,Drama,3d,en,101.599427
Star Trek,English,Paramount Pictures,United States of America,Action,time travel,en,73.61680799999999
Spider-Man,English,Columbia Pictures,United States of America,Action,superhero,en,82.502566
How to Train Your Dragon 2,English,DreamWorks Animation,United States of America,Comedy,3d,en,100.21391
Gods of Egypt,English,Summit Entertainment,United States of America,Fantasy,fight,en,56.257249
Stealth,English,Columbia Pictures Corporation,United States of America,Action,aftercreditsstinger,en,17.88953
Watchmen,English,Warner Bros.,United States of America,Action,based on comic book,en,64.798873
Lethal Weapon 4,English,Warner Bros.,United States of America,Comedy,lapd,en,24.855701
Hulk,English,Universal Pictures,United States of America,Drama,superhero,en,34.981698
G.I. Joe: Retaliation,English,Paramount Pictures,United States of America,Thriller,secret,en,59.325589
Sahara,English,Paramount Pictures,United States of America,Drama,tyrant,en,21.605567999999998
Final Fantasy: The Spirits Within,English,Columbia Pictures,United States of America,Thriller,dystopia,en,26.074907999999997
Captain America: The First Avenger,English,Marvel Studios,United States of America,Action,aftercreditsstinger,en,74.50624599999999
The World Is Not Enough,English,Metro-Goldwyn-Mayer (MGM),United States of America,Thriller,mission,en,39.604363
Master and Commander: The Far Side of the World,English,Universal Pictures,United States of America,Adventure,sea battle,en,36.973031
The Twilight Saga: Breaking Dawn - Part 2,English,Summit Entertainment,United States of America,Drama,vampire,en,99.687084
Happy Feet Two,English,Warner Bros.,Australia,Comedy,aftercreditsstinger,en,17.7735
The Incredible Hulk,English,Universal Pictures,United States of America,Action,new york,en,62.898336
The BFG,English,Walt Disney Pictures,United States of America,Adventure,based on novel,en,44.19092
The Revenant,English,Regency Enterprises,United States of America,Drama,based on novel,en,100.635882
Turbo,English,DreamWorks Animation,United States of America,Family,friends,en,44.765377
Rango,English,Paramount Pictures,United States of America,Comedy,sheriff,en,29.913529999999998
Penguins of Madagascar,English,DreamWorks Animation,United States of America,Comedy,3d,en,84.366984
The Bourne Ultimatum,English,Universal Pictures,United States of America,Drama,based on novel,en,45.381501
Kung Fu Panda,English,DreamWorks Animation,United States of America,Comedy,aftercreditsstinger,en,84.68964799999999
Ant-Man,English,Marvel Studios,United States of America,Action,duringcreditsstinger,en,120.09361000000001
The Hunger Games: Catching Fire,English,Lionsgate,United States of America,Action,based on novel,en,76.310119
Home,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,friendship,en,63.473086
War of the Worlds,English,Paramount Pictures,United States of America,Thriller,dystopia,en,48.572726
Bad Boys II,English,Columbia Pictures Corporation,United States of America,Comedy,violence,en,38.068736
Puss in Boots,English,DreamWorks,United States of America,Action,adventure,en,20.678787
Salt,English,Columbia Pictures,United States of America,Thriller,violence,en,48.829437
Noah,English,Paramount Pictures,United States of America,Drama,3d,en,46.115758
The Adventures of Tintin,English,Paramount Pictures,United States of America,Adventure,3d,en,89.938296
Harry Potter and the Prisoner of Azkaban,English,Warner Bros.,United States of America,Adventure,aftercreditsstinger,en,79.679601
Australia,English,Twentieth Century Fox Film Corporation,United States of America,Drama,aftercreditsstinger,en,28.840996999999998
After Earth,English,Columbia Pictures,United States of America,Action,dystopia,en,42.840582
Dinosaur,English,Walt Disney Pictures,United States of America,Family,animation,en,26.548594
Night at the Museum: Secret of the Tomb,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,museum,en,115.597753
Megamind,English,DreamWorks Animation,United States of America,Comedy,duringcreditsstinger,en,68.757242
Harry Potter and the Philosopher's Stone,English,Warner Bros.,United States of America,Adventure,magic,en,109.984351
R.I.P.D.,English,Universal Pictures,United States of America,Comedy,revenge,en,39.448066
Pirates of the Caribbean: The Curse of the Black Pearl,English,Walt Disney Pictures,United States of America,Action,aftercreditsstinger,en,271.972889
The Hunger Games: Mockingjay - Part 1,English,Lionsgate,United States of America,Thriller,dystopia,en,206.227151
The Da Vinci Code,English,Columbia Pictures,United States of America,Thriller,based on novel,en,45.313196999999995
Rio 2,English,Twentieth Century Fox Animation,United States of America,Comedy,sequel,en,42.400240000000004
X2,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,superhero,en,2.871739
Fast Five,English,Universal Pictures,United States of America,Thriller,duringcreditsstinger,en,7.255717999999999
Sherlock Holmes: A Game of Shadows,English,Warner Bros.,United States of America,Action,steampunk,en,81.49962099999999
Clash of the Titans,English,Warner Bros.,United States of America,Action,3d,en,47.686442
Total Recall,English,TriStar Pictures,United States of America,Action,dystopia,en,43.129703000000006
The 13th Warrior,English,Touchstone Pictures,United States of America,Action,war,en,27.220157
The Bourne Legacy,English,Universal Pictures,United States of America,Thriller,assassin,en,90.33681
Batman & Robin,English,Warner Bros.,United States of America,Action,superhero,en,50.073575
How the Grinch Stole Christmas,English,Universal Pictures,United States of America,Comedy,new love,en,45.419668
The Day After Tomorrow,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,los angeles,en,41.380094
Mission: Impossible II,English,Paramount Pictures,United States of America,Thriller,violence,en,54.931334
The Perfect Storm,English,Warner Bros.,United States of America,Drama,storm at sea,en,25.752118
Fantastic 4: Rise of the Silver Surfer,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,duringcreditsstinger,en,60.810722999999996
Life of Pi,English,Dune Entertainment,United States of America,Drama,faith,en,51.328145
Ghost Rider,English,Relativity Media,United States of America,Thriller,dying and death,en,46.834703999999995
Jason Bourne,English,The Kennedy/Marshall Company,United States of America,Thriller,flashback,en,62.641286
Charlie's Angels: Full Throttle,English,Columbia Pictures,United States of America,Comedy,robbery,en,33.616115
Prometheus,English,Twentieth Century Fox Film Corporation,United States of America,Adventure,aftercreditsstinger,en,68.889395
Stuart Little 2,English,Columbia Pictures,United States of America,Comedy,friendship,en,27.990284000000003
Elysium,English,TriStar Pictures,United States of America,Drama,dystopia,en,67.33766999999999
The Chronicles of Riddick,English,Radar Pictures,United States of America,Action,dystopia,en,27.835435999999998
RoboCop,English,Columbia Pictures,United States of America,Action,violence,en,66.757869
Speed Racer,English,Warner Bros.,United States of America,Action,woman director,en,17.060695000000003
How Do You Know,English,Columbia Pictures,United States of America,Drama,aftercreditsstinger,en,11.137655
Knight and Day,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,duringcreditsstinger,en,44.906918
Oblivion,English,Universal Pictures,United States of America,Action,dystopia,en,67.698004
Star Wars: Episode III - Revenge of the Sith,English,Lucasfilm,United States of America,Action,space opera,en,44.108427
Star Wars: Episode II - Attack of the Clones,English,Lucasfilm,United States of America,Action,violence,en,43.987061
"Monsters, Inc.",English,Walt Disney Pictures,United States of America,Comedy,best friend,en,106.815545
The Wolverine,English,Twentieth Century Fox Film Corporation,United States of America,Action,duringcreditsstinger,en,15.953444000000001
Star Wars: Episode I - The Phantom Menace,English,Lucasfilm,United States of America,Action,space opera,en,54.035265
The Croods,English,DreamWorks Animation,United States of America,Comedy,duringcreditsstinger,en,64.18332099999999
Asterix at the Olympic Games,Français,Canal+,Germany,Comedy,magic,fr,20.344364000000002
Windtalkers,English,Metro-Goldwyn-Mayer (MGM),United States of America,Drama,world war ii,en,18.714197
The Huntsman: Winter's War,English,Universal Pictures,United States of America,Drama,magic,en,60.467983999999994
Teenage Mutant Ninja Turtles,English,Paramount Pictures,United States of America,Comedy,3d,en,143.350376
Gravity,English,Warner Bros.,United States of America,Drama,space,en,110.153618
Dante's Peak,English,Universal Pictures,United States of America,Thriller,small town,en,16.90444
Teenage Mutant Ninja Turtles: Out of the Shadows,English,Paramount Pictures,United States of America,Comedy,sequel,en,39.873791
Fantastic Four,English,Twentieth Century Fox Film Corporation,United States of America,Action,superhero,en,38.126095
Night at the Museum,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,duringcreditsstinger,en,48.780039
San Andreas,English,Warner Bros.,United States of America,Drama,3d,en,100.412364
Tomorrow Never Dies,English,Eon Productions,United States of America,Thriller,london england,en,42.887121
The Patriot,English,Columbia Pictures Corporation,United States of America,Drama,daughter,en,23.657284
Ocean's Twelve,English,Warner Bros.,United States of America,Thriller,sequel,en,76.840712
Mr. & Mrs. Smith,English,Regency Enterprises,United States of America,Drama,secret,en,44.635452
Insurgent,English,Summit Entertainment,United States of America,Thriller,based on novel,en,103.71838699999999
The Aviator,English,Warner Bros.,United States of America,Drama,biography,en,45.616098
Gulliver's Travels,English,Twentieth Century Fox Film Corporation,United States of America,Comedy,3d,en,22.845143
The Green Hornet,English,Original Film,United States of America,Comedy,violence,en,31.703608000000003
300: Rise of an Empire,English,Warner Bros.,United States of America,Action,duringcreditsstinger,en,71.51059599999999
The Smurfs,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,36.65422
Home on the Range,English,Walt Disney Pictures,United States of America,Family,animal,en,19.625972
Allegiant,English,Lionsgate,United States of America,Adventure,based on novel,en,86.105615
Real Steel,English,Touchstone Pictures,United States of America,Drama,sport,en,37.195046000000005
The Smurfs 2,English,Columbia Pictures,United States of America,Comedy,animation,en,32.473628000000005
Speed 2: Cruise Control,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,computer,en,23.336875
Ender's Game,English,Summit Entertainment,United States of America,Action,based on novel,en,45.94834
Live Free or Die Hard,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,violence,en,48.933370000000004
The Lord of the Rings: The Fellowship of the Ring,English,New Line Cinema,United States of America,Action,based on novel,en,138.049577
Around the World in 80 Days,English,Studio Babelsberg,United States of America,Comedy,new york,en,22.643776000000003
Ali,English,Columbia Pictures Corporation,United States of America,Drama,biography,en,18.866672
The Cat in the Hat,English,Universal Pictures,United States of America,Comedy,brother sister relationship,en,18.251129000000002
"I, Robot",English,Twentieth Century Fox Film Corporation,United States of America,Action,based on novel,en,95.914473
Kingdom of Heaven,English,Twentieth Century Fox Film Corporation,United States of America,Drama,knight,en,44.490453
Stuart Little,English,Columbia Pictures Corporation,United States of America,Comedy,based on novel,en,30.475296999999998
The Princess and the Frog,English,Walt Disney Pictures,United States of America,Romance,duringcreditsstinger,en,62.479574
The Martian,English,Twentieth Century Fox Film Corporation,United States of America,Drama,duringcreditsstinger,en,167.93287
The Island,English,Warner Bros.,United States of America,Thriller,dystopia,en,37.68056
Town & Country,English,New Line Cinema,N/A,Comedy,friends,en,1.004579
Gone in Sixty Seconds,English,Touchstone Pictures,United States of America,Thriller,violence,en,52.995628
Gladiator,English,Universal Pictures,United States of America,Drama,blood,en,95.301296
Minority Report,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,murder,en,65.948959
Harry Potter and the Chamber of Secrets,English,Warner Bros.,United States of America,Adventure,aftercreditsstinger,en,132.397737
Casino Royale,English,Eon Productions,United States of America,Thriller,money,en,88.935165
Planet of the Apes,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,dystopia,en,51.188633
Terminator 2: Judgment Day,English,Canal+,United States of America,Thriller,violence,en,101.74155
Public Enemies,English,Universal Pictures,United States of America,Drama,machinegun,en,33.691694
American Gangster,English,Universal Pictures,United States of America,Drama,aftercreditsstinger,en,42.361215
True Lies,English,Twentieth Century Fox Film Corporation,United States of America,Thriller,kidnapping,en,38.729418
The Taking of Pelham 1 2 3,English,Columbia Pictures,United States of America,Drama,aftercreditsstinger,en,40.597856
Little Fockers,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,32.389353
The Other Guys,English,Columbia Pictures,United States of America,Comedy,duringcreditsstinger,en,24.399642
Eraser,English,Warner Bros.,United States of America,Drama,violence,en,24.507987
Django Unchained,English,Columbia Pictures,United States of America,Drama,aftercreditsstinger,en,82.121691
The Hunchback of Notre Dame,English,Walt Disney Pictures,United States of America,Drama,based on novel,en,46.727940999999994
The Emperor's New Groove,English,Walt Disney Pictures,United States of America,Comedy,kingdom,en,51.113717
The Expendables 2,English,Millennium Films,United States of America,Thriller,violence,en,53.73289200000001
National Treasure,English,Walt Disney Pictures,United States of America,Thriller,treasure hunt,en,58.849256000000004
Eragon,English,Twentieth Century Fox Film Corporation,United States of America,Action,based on novel,en,30.863434
Where the Wild Things Are,English,Warner Bros.,United States of America,Family,lying,en,31.586215000000003
Epic,English,Twentieth Century Fox Animation,United States of America,Adventure,fantasy,en,36.711378
The Tourist,English,Columbia Pictures,United States of America,Thriller,paris,en,41.426678
End of Days,English,Beacon Communications,United States of America,Action,violence,en,20.652943
Blood Diamond,English,Warner Bros.,United States of America,Drama,journalist,en,52.792678
The Wolf of Wall Street,English,Paramount Pictures,United States of America,Drama,sex,en,95.00793399999999
Batman Forever,English,Warner Bros.,United States of America,Action,violence,en,48.205606
Starship Troopers,English,Touchstone Pictures,United States of America,Thriller,dystopia,en,58.782359
Cloud Atlas,English,X-Filme Creative Pool,United States of America,Drama,woman director,en,73.872343
Legend of the Guardians: The Owls of Ga'Hoole,English,Warner Bros.,United States of America,Adventure,owl,en,37.321847999999996
Catwoman,English,Warner Bros.,United States of America,Action,sex,en,32.271938
Hercules,English,Paramount Pictures,United States of America,Action,battle,en,76.842247
Treasure Planet,English,Walt Disney Pictures,United States of America,Adventure,based on novel,en,38.924136
Land of the Lost,English,Universal Pictures,United States of America,Comedy,duringcreditsstinger,en,19.38841
The Expendables 3,English,Millennium Films,United States of America,Thriller,sequel,en,61.025639
Point Break,English,Studio Babelsberg,United States of America,Thriller,3d,en,33.507289
Son of the Mask,English,New Line Cinema,United States of America,Comedy,baby,en,17.815595000000002
In the Heart of the Sea,English,Warner Bros.,United States of America,Drama,suicide,en,50.767332
The Adventures of Pluto Nash,English,Village Roadshow Pictures,United States of America,Comedy,future,en,12.092241
Green Zone,English,Universal Pictures,United States of America,Drama,weapon of mass destruction,en,30.254021
The Peanuts Movie,English,Twentieth Century Fox Animation,United States of America,Animation,3d,en,34.308098
